,Unnamed: 0,url,code,name,今收,增长幅度,增长率,最高,最低,今开,昨收,涨停,跌停,换手率,振幅,成交量,成交额,内盘,外盘,委比,涨跌幅,市盈率(动),市净率,流通市值,总市值
0,0,https://hq.gucheng.com/SZ000001/,SZ000001,平安银行,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
1,1,https://hq.gucheng.com/SZ000002/,SZ000002,万 科A,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
2,2,https://hq.gucheng.com/SZ000004/,SZ000004,国农科技,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
3,3,https://hq.gucheng.com/SZ000005/,SZ000005,世纪星源,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
4,4,https://hq.gucheng.com/SZ000006/,SZ000006,深振业A,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
5,5,https://hq.gucheng.com/SZ000007/,SZ000007,全新好,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
6,6,https://hq.gucheng.com/SZ000008/,SZ000008,神州高铁,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
7,7,https://hq.gucheng.com/SZ000009/,SZ000009,中国宝安,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
8,8,https://hq.gucheng.com/SZ000010/,SZ000010,美丽生态,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
9,9,https://hq.gucheng.com/SZ000011/,SZ000011,深物业A,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
